timestamp,x,y,floor,uid
2014-07-19T16:00:06.071Z,103.79211,71.5041941799,1,600dfbe2
2014-07-19T16:00:06.074Z,110.33613,100.6828393189,1,5e7b40e1
2014-07-19T16:00:06.076Z,110.066315,86.4887358523,1,285d22e4
2014-07-19T16:00:06.076Z,103.78499,71.4563307329,1,74d917a1
2014-07-19T16:00:06.076Z,109.09495,92.8244871102,1,3c3649fb
2014-07-19T16:00:06.563Z,105.98095,67.8445625479,1,d6f0300c
2014-07-19T16:00:05.821Z,103.461044,71.4245217562,2,78b85537
2014-07-19T16:00:05.822Z,103.7674,71.4738216307,2,27cb9c6f
2014-07-19T16:00:06.076Z,107.476204,73.3445046759,2,042e36bd
2014-07-19T16:00:06.078Z,105.27734,87.581182312,2,1c01962e
2014-07-19T16:00:06.079Z,103.785805,71.4429286356,2,26fc890b
2014-07-19T16:00:06.080Z,103.720085,71.3797354064,2,d05c03a0
2014-07-19T16:00:06.081Z,107.343185,88.2752137197,2,2f15d692
2014-07-19T16:00:06.081Z,100.84964,67.3809731841,2,b53b76f9
2014-07-19T16:00:06.081Z,110.1006,66.267991227,2,f8c4ee12
2014-07-19T16:00:06.081Z,105.854195,87.7707881618,2,ed3c7f8f
2014-07-19T16:00:06.082Z,96.142845,61.9978864285,2,655f7545
2014-07-19T16:00:06.564Z,103.78293,71.483274906,2,fd3a0792
2014-07-19T16:00:06.564Z,103.927475,71.4932136054,2,b43212e2
2014-07-19T16:00:05.821Z,104.722595,90.4350154553,3,22533c61
2014-07-19T16:00:05.822Z,109.6942,66.226993931,3,e6b24f52
2014-07-19T16:00:06.074Z,109.71278,97.2428849042,3,54ead428
2014-07-19T16:00:06.076Z,56.124245,71.1352177528,3,f5381e59
2014-07-19T16:00:06.076Z,93.29675,63.8922121125,3,9f096b15
2014-07-19T16:00:06.076Z,109.70228,71.4775631104,3,51f21bd3
